"filename", "language", "C++", "YAML", "Markdown", "Dart", "JSON", "Properties", "Groovy", "XML", "HTML", "Swift", "comment", "blank", "total"
"e:\Dev\Projects\HTI\jwt_auth\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"e:\Dev\Projects\HTI\jwt_auth\analysis_options.yaml", "YAML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"e:\Dev\Projects\HTI\jwt_auth\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 5, 12, 68
"e:\Dev\Projects\HTI\jwt_auth\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 4, 2, 12
"e:\Dev\Projects\HTI\jwt_auth\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 8, 4, 66
"e:\Dev\Projects\HTI\jwt_auth\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"e:\Dev\Projects\HTI\jwt_auth\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"e:\Dev\Projects\HTI\jwt_auth\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"e:\Dev\Projects\HTI\jwt_auth\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"e:\Dev\Projects\HTI\jwt_auth\android\app\src\main\res\xml\file_paths.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"e:\Dev\Projects\HTI\jwt_auth\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 4, 2, 11
"e:\Dev\Projects\HTI\jwt_auth\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 5, 42
"e:\Dev\Projects\HTI\jwt_auth\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
