Date : 2023-11-18 20:59:32
Directory : d:\Dev\Projects\Flutter\Tickets\Tickets\lib
Total : 111 files,  -1515 codes, -278 comments, -256 blanks, all -2049 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         59 |         56 |          3 |         28 |         87 |
| Properties |          2 |         -8 |          0 |         -2 |        -10 |
| Markdown   |          3 |        -13 |          0 |        -10 |        -23 |
| HTML       |          1 |        -38 |        -16 |         -6 |        -60 |
| YAML       |          2 |        -46 |        -82 |        -21 |       -149 |
| Swift      |          6 |        -64 |         -7 |        -20 |        -91 |
| Groovy     |          3 |       -104 |         -5 |        -22 |       -131 |
| JSON       |          8 |       -248 |          0 |         -4 |       -252 |
| XML        |         11 |       -499 |        -50 |        -17 |       -566 |
| C++        |         16 |       -551 |       -121 |       -182 |       -854 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                          |         32 |      2,742 |         60 |        248 |      3,050 |
| . (Files)                                                                                  |          1 |         24 |          0 |          4 |         28 |
| assets                                                                                     |          2 |         14 |          0 |          2 |         16 |
| assets\translations                                                                        |          2 |         14 |          0 |          2 |         16 |
| data                                                                                       |         10 |        208 |         10 |         46 |        264 |
| e:\                                                                                        |         79 |     -4,257 |       -338 |       -504 |     -5,099 |
| e:\Dev                                                                                     |         79 |     -4,257 |       -338 |       -504 |     -5,099 |
| e:\Dev\Projects                                                                            |         79 |     -4,257 |       -338 |       -504 |     -5,099 |
| e:\Dev\Projects\HTI                                                                        |         79 |     -4,257 |       -338 |       -504 |     -5,099 |
| e:\Dev\Projects\HTI\jwt_auth                                                               |         79 |     -4,257 |       -338 |       -504 |     -5,099 |
| e:\Dev\Projects\HTI\jwt_auth (Files)                                                       |          4 |        -56 |        -82 |        -29 |       -167 |
| e:\Dev\Projects\HTI\jwt_auth\android                                                       |         13 |       -207 |        -53 |        -38 |       -298 |
