"filename", "language", "Dart", "JSON", "comment", "blank", "total"
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\assets\translations\ar_SA.json", "JSON", 0, 7, 0, 1, 8
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\assets\translations\en_US.json", "JSON", 0, 7, 0, 1, 8
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\data\api_config.dart", "Dart", 21, 0, 6, 10, 37
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\data\comment_config.dart", "Dart", 23, 0, 0, 4, 27
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\data\location_config.dart", "Dart", 5, 0, 0, 2, 7
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\data\multi_answers.dart", "Dart", 11, 0, 0, 3, 14
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\data\multi_survey_config.dart", "Dart", 29, 0, 0, 7, 36
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\data\problem_config.dart", "Dart", 11, 0, 0, 3, 14
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\data\sectors_config.dart", "Dart", 13, 0, 0, 2, 15
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\data\solution_config.dart", "Dart", 11, 0, 0, 3, 14
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\data\ticket_config.dart", "Dart", 71, 0, 4, 8, 83
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\data\towers_config.dart", "Dart", 13, 0, 0, 4, 17
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\main.dart", "Dart", 24, 0, 0, 4, 28
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\screens\home.dart", "Dart", 289, 0, 4, 17, 310
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\screens\login.dart", "Dart", 95, 0, 1, 6, 102
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\screens\survey_page.dart", "Dart", 292, 0, 2, 19, 313
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\screens\ticket_page.dart", "Dart", 753, 0, 16, 37, 806
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\services\api_service.dart", "Dart", 300, 0, 12, 38, 350
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\services\auth_service.dart", "Dart", 65, 0, 1, 11, 77
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\services\check_permissions.dart", "Dart", 26, 0, 8, 8, 42
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\services\debouncer.dart", "Dart", 14, 0, 0, 3, 17
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\services\location_services.dart", "Dart", 18, 0, 0, 5, 23
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\theme\colors.dart", "Dart", 7, 0, 0, 2, 9
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\theme\routes.dart", "Dart", 4, 0, 1, 1, 6
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\theme\theme.dart", "Dart", 7, 0, 0, 2, 9
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\widgets\comment_card.dart", "Dart", 53, 0, 0, 4, 57
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\widgets\comment_section.dart", "Dart", 87, 0, 1, 8, 96
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\widgets\download_dialog.dart", "Dart", 89, 0, 1, 13, 103
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\widgets\error_dialog.dart", "Dart", 29, 0, 0, 4, 33
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\widgets\map_box.dart", "Dart", 60, 0, 1, 4, 65
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\widgets\text_field.dart", "Dart", 69, 0, 0, 3, 72
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\widgets\ticket_card.dart", "Dart", 239, 0, 2, 11, 252
"Total", "-", 2728, 14, 60, 248, 3050
