"filename", "language", "Dart", "comment", "blank", "total"
"d:\Dev\Projects\Flutter\vscode\graduation_app\graduation_app\lib\data\api_config.dart", "Dart", 1, 0, 0, 1
"d:\Dev\Projects\Flutter\vscode\graduation_app\graduation_app\lib\data\features_config.dart", "Dart", 129, 0, 8, 137
"d:\Dev\Projects\Flutter\vscode\graduation_app\graduation_app\lib\main.dart", "Dart", 14, 0, 3, 17
"d:\Dev\Projects\Flutter\vscode\graduation_app\graduation_app\lib\screens\bottom_nav_bar.dart", "Dart", 102, 1, 9, 112
"d:\Dev\Projects\Flutter\vscode\graduation_app\graduation_app\lib\screens\diabetes.dart", "Dart", 366, 1, 15, 382
"d:\Dev\Projects\Flutter\vscode\graduation_app\graduation_app\lib\screens\diabetes_vip.dart", "Dart", 386, 1, 17, 404
"d:\Dev\Projects\Flutter\vscode\graduation_app\graduation_app\lib\screens\heart.dart", "Dart", 427, 1, 15, 443
"d:\Dev\Projects\Flutter\vscode\graduation_app\graduation_app\lib\screens\history.dart", "Dart", -4, 0, 0, -4
"d:\Dev\Projects\Flutter\vscode\graduation_app\graduation_app\lib\screens\home.dart", "Dart", -404, -3, -19, -426
"d:\Dev\Projects\Flutter\vscode\graduation_app\graduation_app\lib\screens\hypertention.dart", "Dart", 398, 1, 16, 415
"d:\Dev\Projects\Flutter\vscode\graduation_app\graduation_app\lib\screens\settings.dart", "Dart", 193, 16, 12, 221
"d:\Dev\Projects\Flutter\vscode\graduation_app\graduation_app\lib\screens\test.dart", "Dart", 240, 1, 13, 254
"d:\Dev\Projects\Flutter\vscode\graduation_app\graduation_app\lib\services\api_service.dart", "Dart", 109, -1, 13, 121
"d:\Dev\Projects\Flutter\vscode\graduation_app\graduation_app\lib\widgets\inhert.dart", "Dart", 16, 0, 5, 21
"Total", "-", 1973, 18, 107, 2098
